job-title,county-addl-step-label,county-addl-step,county-addl-step-label2,county-addl-step2,3-year-county-total-base,seiu1,seiu2,seiu3,,,,,,,,,,
Senior Health Info Mgmt Technician,,,,,4.00%,4.41%,3.91%,12.31%,,,,,,,,,,
Senior Health Physicist,,,,,5.54%,6.04%,5.54%,17.12%,,,,,,,,,,
Senior HHSA Contract Auditor,,,,,4.00%,3.57%,3.07%,10.63%,,,,,,,,,,
Senior Histology Technician,,,,,4.35%,4.85%,4.35%,13.56%,,,,,,,,,,
Senior Hydrogeologist,,,,,5.10%,5.60%,5.10%,15.80%,,,,,,,,,,
Senior Insect Detection Specialist,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,Add to Boot Allowance,$300/year,4.00%,4.19%,3.69%,11.88%,,,,,,,,,,
Senior Laboratory Assistant,,,,,4.00%,4.46%,3.96%,12.41%,,,,,,,,,,
Senior Land Surveyor,,,,,5.07%,5.57%,5.07%,15.72%,,,,,,,,,,
Senior Latent Print Examiner,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Senior Laundry Worker,,,,,4.30%,4.80%,4.30%,13.40%,,,,,,,,,,
Senior Litigation Investigator,,,,,4.09%,4.59%,4.09%,12.76%,,,,,,,,,,
Senior Mail Carrier,,,,,4.00%,4.34%,3.84%,12.19%,,,,,,,,,,
Senior Medical Transcriber,,,,,4.06%,4.56%,4.06%,12.69%,,,,,,,,,,
Senior Meteorologist,add 2 additional top steps to the salary schedule,up to 10%,,,5.99%,6.49%,5.99%,18.47%,,,,,,,,,,
Senior Occupational/Phy Therapst,,,,,4.47%,4.97%,4.47%,13.91%,,,,,,,,,,
Senior Office Assistant,,,,,4.24%,4.74%,4.24%,13.22%,,,,,,,,,,
Senior Park Ranger,Premium for Time Spent working on Homeless Outreach Team,$3/hour,Add to Boot Allowance,$300/year,5.08%,5.58%,5.08%,15.73%,,,,,,,,,,
Senior Payroll Clerk,,,,,4.47%,4.97%,4.47%,13.90%,,,,,,,,,,
Senior Precinct Planning Technician,,,,,4.79%,5.29%,4.79%,14.88%,,,,,,,,,,
Senior Procurement Contracting Officer,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,4.00%,4.26%,3.76%,12.02%,,,,,,,,,,
Senior Protective Services Worker,Emergency Response Premium (if applicable),5.00%,,,6.24%,6.74%,6.24%,19.22%,,,,,,,,,,
Senior Public Health Nurse,,,,,7.16%,7.66%,7.16%,21.99%,,,,,,,,,,
Senior Public Hlth Microbiologist,,,,,4.81%,5.31%,4.81%,14.94%,,,,,,,,,,
Senior Real Property Agent,,,,,4.48%,4.98%,4.48%,13.93%,,,,,,,,,,
Senior Revenue & Recovery Officer,,,,,4.31%,4.81%,4.31%,13.43%,,,,,,,,,,
Senior Storekeeper,Add to Boot Allowance,$300/year,,,4.78%,5.28%,4.78%,14.84%,,,,,,,,,,
Senior Structural Engineer,,,,,4.00%,4.30%,3.80%,12.09%,,,,,,,,,,
Senior Tax Payment Enforcement Officer,,,,,4.00%,3.90%,3.40%,11.29%,,,,,,,,,,
Senior Tax Payment Processor,,,,,4.88%,5.38%,4.88%,15.13%,,,,,,,,,,
Senior Treasurer-Tax Collector Specialist,,,,,4.33%,4.83%,4.33%,13.48%,,,,,,,,,,
Senior Vector Control Technician,,,,,7.69%,8.19%,7.69%,23.56%,,,,,,,,,,
Senior Vector Ecologist,,,,,4.23%,4.73%,4.23%,13.18%,,,,,,,,,,
Senior Veteran Services Representative,,,,,4.37%,4.87%,4.37%,13.62%,,,,,,,,,,
Sewing Room Supervisor,,,,,5.40%,5.90%,5.40%,16.71%,,,,,,,,,,
Sheriff's Certified Nurse Assistant,,,,,4.01%,4.51%,4.01%,12.53%,,,,,,,,,,
